bmi,era
25,2.45
26,5.14
26,0.00
25,6.75
26,3.97
25,0.00
25,0.00
26,3.97
24,3.27
25,0.00
27,0.00
25,33.75
27,0.00
30,4.09
28,0.00
27,0.00
27,2.92
27,5.40
29,0.00
27,5.59
20,0.00
25,0.00
26,0.82
26,3.00
30,21.60
24,5.40
26,5.40
22,2.53
27,94.50
27,3.38
27,5.00
31,3.75
22,6.75
25,7.71
27,5.73
25,3.86
25,2.38
23,3.75
27,5.63
27,5.40
25,0.00
24,0.00
23,3.75
26,0.00
24,7.84
28,9.00
27,0.00
24,6.75
23,0.00
22,0.00
25,5.63
27,5.40
24,6.75
28,0.00
25,9.00
28,1.42
26,6.10
25,0.00
27,6.00
27,0.00
28,4.50
27,0.00
22,0.00
25,3.46
25,0.00
28,0.00
29,4.50
28,0.00
25,0.00
24,7.20
30,0.00
25,3.00
27,3.00
27,2.70
28,3.27
26,9.00
23,0.00
31,7.36
24,0.00
27,9.39
24,3.72
25,0.00
27,0.00
27,18.00
24,0.00
27,13.50
27,4.50
33,13.50
25,0.00
28,1.42
25,99.99
24,1.35
27,27.00
23,10.80
28,5.73
25,0.00
28,4.91
28,3.27
26,0.00
27,11.57
27,9.00
24,3.86
27,18.00
26,27.00
27,36.00
26,13.50
27,0.00
26,4.50
26,0.00
28,0.00
28,16.20
27,4.63
27,2.45
26,20.25
26,3.60
28,1.38
23,0.00
26,4.50
24,9.00
27,3.75
29,3.00
27,0.00
29,1.20
25,5.14
29,2.38
24,0.00
25,0.00
27,0.00
25,0.00
